# Station : BREST
# Longitude : -4.49503994
# Latitude : 48.38290024
# Organisme fournisseur de données : Shom, Marine nationale
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2024 00:00:00;2.7583;1
01/01/2024 00:10:00;2.6748;1
01/01/2024 00:20:00;2.6051;1
01/01/2024 00:30:00;2.5435;1
01/01/2024 00:40:00;2.4975;1
01/01/2024 00:50:00;2.4651;1
01/01/2024 01:00:00;2.4531;1
01/01/2024 01:10:00;2.4385;1
01/01/2024 01:20:00;2.4281;1
01/01/2024 01:30:00;2.4495;1
01/01/2024 01:40:00;2.5047;1
01/01/2024 01:50:00;2.58;1
01/01/2024 02:00:00;2.6948;1
01/01/2024 02:10:00;2.7791;1
01/01/2024 02:20:00;2.9744;1
01/01/2024 02:30:00;3.055;1
01/01/2024 02:40:00;3.2325;1
01/01/2024 02:50:00;3.3486;1
01/01/2024 03:00:00;3.5394;1
01/01/2024 03:10:00;3.6823;1
01/01/2024 03:20:00;3.8851;1
01/01/2024 03:30:00;4.0503;1
01/01/2024 03:40:00;4.2139;1
01/01/2024 03:50:00;4.3817;1
01/01/2024 04:00:00;4.5507;1
01/01/2024 04:10:00;4.7108;1
01/01/2024 04:20:00;4.8576;1
01/01/2024 04:30:00;5.0378;1
01/01/2024 04:40:00;5.1787;1
01/01/2024 04:50:00;5.3409;1
01/01/2024 05:00:00;5.4767;1
01/01/2024 05:10:00;5.6118;1
01/01/2024 05:20:00;5.7345;1
01/01/2024 05:30:00;5.8471;1
01/01/2024 05:40:00;5.9824;1
01/01/2024 05:50:00;6.0694;1
01/01/2024 06:00:00;6.1832;1
01/01/2024 06:10:00;6.2337;1
01/01/2024 06:20:00;6.3363;1
01/01/2024 06:30:00;6.3231;1
01/01/2024 06:40:00;6.418;1
01/01/2024 06:50:00;6.389;1
01/01/2024 07:00:00;6.4638;1
01/01/2024 07:10:00;6.4347;1
01/01/2024 07:20:00;6.4471;1
01/01/2024 07:30:00;6.3768;1
01/01/2024 07:40:00;6.3185;1
01/01/2024 07:50:00;6.2272;1
01/01/2024 08:00:00;6.1656;1
01/01/2024 08:10:00;6.0648;1
01/01/2024 08:20:00;5.9599;1
01/01/2024 08:30:00;5.8357;1
01/01/2024 08:40:00;5.7161;1
01/01/2024 08:50:00;5.5739;1
01/01/2024 09:00:00;5.4496;1
01/01/2024 09:10:00;5.2909;1
01/01/2024 09:20:00;5.1735;1
01/01/2024 09:30:00;5.0263;1
01/01/2024 09:40:00;4.909;1
01/01/2024 09:50:00;4.7529;1
01/01/2024 10:00:00;4.6263;1
01/01/2024 10:10:00;4.4889;1
01/01/2024 10:20:00;4.3355;1
01/01/2024 10:30:00;4.2205;1
01/01/2024 10:40:00;4.0692;1
01/01/2024 10:50:00;3.9572;1
01/01/2024 11:00:00;3.8163;1
01/01/2024 11:10:00;3.6947;1
01/01/2024 11:20:00;3.5554;1
01/01/2024 11:30:00;3.4699;1
01/01/2024 11:40:00;3.335;1
01/01/2024 11:50:00;3.2378;1
01/01/2024 12:00:00;3.1144;1
01/01/2024 12:10:00;3.0256;1
01/01/2024 12:20:00;2.9175;1
01/01/2024 12:30:00;2.8082;1
01/01/2024 12:40:00;2.7614;1
01/01/2024 12:50:00;2.6498;1
01/01/2024 13:00:00;2.65;1
01/01/2024 13:10:00;2.5978;1
01/01/2024 13:20:00;2.5772;1
01/01/2024 13:30:00;2.563;1
01/01/2024 13:40:00;2.5577;1
01/01/2024 13:50:00;2.6364;1
01/01/2024 14:00:00;2.6523;1
01/01/2024 14:10:00;2.7792;1
01/01/2024 14:20:00;2.8271;1
01/01/2024 14:30:00;2.9786;1
01/01/2024 14:40:00;3.0711;1
01/01/2024 14:50:00;3.1989;1
01/01/2024 15:00:00;3.3456;1
01/01/2024 15:10:00;3.4842;1
01/01/2024 15:20:00;3.6256;1
01/01/2024 15:30:00;3.7781;1
01/01/2024 15:40:00;3.92;1
01/01/2024 15:50:00;4.0655;1
01/01/2024 16:00:00;4.2392;1
